Question,Keywords,Page Numbers
"Does the patient have or are they taking any prescription drugs that indicate they have Carbapenem-resistant Enterobacteriaceae (CRE) or bacteria that are resistant to carbapenem antibiotics? Respond concisely ""CRE: Yes"" or ""CRE: No"". For 'Yes' responses, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","cre, taking, prescription, indicate, enterobacteriaceae, bacteria, resistant, carbapenem, antibiotics, respond","17, 28, 21, 9, 18, 24, 7, 2, 27"
"Does the patient have or are they taking any prescription drugs that indicate they have Candida Auris (C-Auris) which is resistant to multiple antifungal drugs?  Respond concisely ""C-Auris: Yes"" or ""C-Auris: No"". For 'Yes' responses, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","taking, prescription, indicate, candida, auris, resistant, multiple, antifungal, respond, concisely","11, 17, 28, 18, 26, 22, 24, 7, 16, 2, 27"
"Does the patient have or are they taking any prescription drugs that indicate they have Methicillin-Resist ant Staphylococcus Aureus (MRSA) which is resistant to many antibiotics used to treat common staph infections? Respond concisely ""MRSA: Yes"" or ""MRSA: No"". For 'Yes' responses, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","mrsa, taking, prescription, indicate, ant, staphylococcus, aureus, resistant, many, antibiotics","11, 17, 6, 28, 18, 24, 7, 25, 19, 27, 23"
"Does the patient have or are they taking any prescription drugs that indicate they have Clostridioides Difficile (C-DIFF or CDIF, formerly known as Clostridium Difficile) which is a bacterium that causes diarrhea and more serious intestinal conditions such as colitis? Respond concisely ""C-DIFF: Yes"" or ""C-DIFF: No"". For 'Yes' responses, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","difficile, taking, prescription, indicate, clostridioides, cdif, formerly, known, clostridium, bacterium","17, 6, 28, 18, 24, 7, 27, 23"
"Does the patient have or are they taking any prescription drugs that indicate they have Multidrug-Resistant Organism (MDRO) which is resistant to several types of antibiotics and can For 'Yes' answers, include a variety of pathogens such as Vancomycin-resistant Enterococci (VRE) and certain types of resistant Gram-negative bacteria? Respond concisely ""MDRO: Yes"" or ""MDRO: No"". For 'Yes' responses, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","mdro, resistant, types, taking, prescription, indicate, organism, several, antibiotics, answers","17, 28, 18, 24, 7, 27"
"Does the patient have or are they taking any prescription drugs that indicate they have COVID, COVID+, COVID-19 or something similar caused by the SARS-CoV-2 virus? We don’t want to know if the patient had a COVID vaccination.  We only want to know if they currently have COVID.  Respond concisely ""COVID: Yes"" or ""COVID: No"". For 'Yes' responses, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","covid, want, know, taking, prescription, indicate, something, similar, caused, virus","11, 17, 6, 28, 18, 24, 7, 27, 23"
"Regarding a Dementia and Alertness and Orientation assessment, what is the patient's level of alertness and orientation?  The question may refer to Dementia/Alertness/Orientation. If the patient is oriented to Person only, but not Person, Time, or Situation (meaning they know who they are but they may not be aware of where they are, the current time, or why they are in their current situation), respond concisely ""A&Ox1"".  If the patient is oriented to Place and Person, but not Time or Situation, respond concisely ""A&Ox2"".  If the patient is oriented to Place, Person, and Time, but not Situation, respond concisely ""A&Ox3"".  Finally, respond concisely ""A&Ox4"" if the patient is oriented to Place, Person, Time, and Situation, possibly stated as Orientated to Place and Person and Situation (because Time is implied in awareness of Situation). For ""A&Ox1-4"" responses, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"".  If there is no indication or mention of a Dementia/Alertness/Orientation assessment, respond concisely ""A&OxNA"" and omit any ""Page"" references.  Omit any summary statements before or after the response.","situation, person, time, respond, concisely, oriented, place, alertness, orientation, assessment","22, 4, 25, 13, 6, 28, 21, 1, 24, 16, 2, 27, 23, 15, 11, 17, 8, 18, 12, 19, 9, 26, 10, 3, 7"
"Did the patient receive a COVID or COVID related vaccination that would prevent a SARS-CoV-2 related virus? If yes, respond concisely ""COVID vaccination: Yes"" and include the date or year of the most recent vaccination along with the page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". If no, respond concisely ""COVID vaccination: No"". If there is no indication or mention of a COVID vaccination, respond concisely ""COVID vaccination: NA"". Omit any summary statements before or after the response.","covid, vaccination, respond, concisely, related, yes, receive, would, prevent, virus","11, 17, 19, 21, 9, 10, 22, 24, 7, 25, 12, 27, 23"
"Did the patient have a COVID, COVID+, COVID-19 or similar virus test?  If yes, respond concisely with the results and date or year of the most recent test and include the PDF page number(s) indicating the source, for example ""COVID test: Negative, 12/12/2023 (Page 2)"" or ""COVID test: Positive, 1/31/2024 Page 10"". If there is no indication or mention of a COVID test, respond concisely ""COVID test: NA"". Omit any summary statements before or after the response.","test, covid, respond, concisely, similar, virus, yes, results, date, year","22, 4, 25, 13, 14, 6, 28, 21, 1, 24, 16, 2, 27, 23, 15, 11, 17, 8, 18, 19, 12, 9, 26, 10, 3, 7"
"Does the patient need short-term care or have a short term care plan, after which the patient is expected to return home?  This care plan is possibly related to therapy or recovery after surgery.  If they have a short-term care plan, concisely list it, in bullet format, and include approximately how long it is expected to take (in days or weeks and day).  If no short-term care plan is mentioned, respond ""No short-term care plan mentioned"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summaries before or after the response or bullet list.","care, plan, expected, list, bullet, mentioned, need, short, term, return","17, 28, 18, 26, 1, 10, 22, 24, 7, 16, 27, 14, 15"
"Does the patient need long-term care or have a long-term care plan where the patient is expected to be in the nursing home 6 to 12 months or longer?  Examples include custodial care or long term therapy,   If they have a long-term care plan, concisely list it, in bullet format, and include approximately how long it is expected to take (in weeks or months).  If no long-term care plan is mentioned, respond ""No long-term care plan mentioned"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summaries before or after the response or bullet list.","care, plan, expected, months, long, list, bullet, mentioned, need, nursing","17, 28, 18, 26, 1, 22, 24, 7, 16, 27, 14, 15"
"Please concisely list, in bullet format, all medical conditions, diagnoses, and health issues mentioned in the document, regardless of whether they have associated ICD-10 codes. Begin the bullet list with the header ""Diagnoses"". Include any conditions related to substance abuse, mental health, physical ailments, and any other health-related issues noted, even if they are not formally diagnosed.  When applicable, list the ICD-10. If the ICD-10 is not supplied, look up and associate the ICD-10 code at the most appropriate level that can be derived from the description. However, still include the item even if an ICD-10 can not be associated with the diagnoses. If no medical conditions, diagnoses, or health issues are mentioned in the document, respond concisely ""Diagnoses: NA"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list.","diagnoses, list, bullet, conditions, health, issues, concisely, medical, mentioned, document","11, 17, 19, 28, 8, 9, 26, 13, 1, 22, 10, 16, 7, 5, 12, 27, 23, 15"
