Question,Rafi's Qs,,,ChatGPT improvement (dumped all Qs at one time),,,,,,,,,,,,
1,"Does the patient have or are they taking any prescription drugs that indicate they have Carbapenem-resistant Enterobacteriaceae (CRE) or bacteria that are resistant to carbapenem antibiotics? Respond concisely ""CRE: Yes"" and include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If the answer is no, respond concisely ""CRE: No"".",,,1. Confirm presence of CRE (Carbapenem-resistant Enterobacteriaceae) from patient's prescriptions. Answer 'CRE: Yes/No'. Page reference if available.,,,,,,,,,,,,
2,"Does the patient have or are they taking any prescription drugs that indicate they have Candida Auris (C-Auris), which is resistant to multiple antifungal drugs? Respond concisely ""C-Auris: Yes"" and include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If the answer is no, respond concisely ""C-Auris: No"".",,,2. Check for C-Auris (Candida Auris) indication from prescriptions. Respond 'C-Auris: Yes/No'. Page reference if available.,,,,,,,,,,,,
3,"Does the patient have or are they taking any prescription drugs that indicate they have Methicillin-Resistant Staphylococcus Aureus (MRSA), which is resistant to many antibiotics used to treat common staph infections? Respond concisely ""MRSA: Yes"" and include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If the answer is no, respond concisely ""MRSA: No"".",,,3. Verify MRSA (Methicillin-Resistant Staphylococcus Aureus) from prescription drugs. Answer 'MRSA: Yes/No'. Page reference if available.,,,,,,,,,,,,
4,"Does the patient have or are they taking any prescription drugs that indicate they have Clostridioides Difficile (C-DIFF or CDIF, formerly known as Clostridium Difficile), which is a bacterium that causes diarrhea and more serious intestinal conditions such as colitis? Respond concisely ""C-DIFF: Yes"" and include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If the answer is no, respond concisely ""C-DIFF: No"".",,,4. Determine if patient's medication indicates C-DIFF (Clostridioides Difficile) presence. Respond 'C-DIFF: Yes/No'. Page reference if available.,,,,,,,,,,,,
5,"Does the patient have or are they taking any prescription drugs that indicate they have Multidrug-Resistant Organism (MDRO), which is resistant to several types of antibiotics and can include a variety of pathogens such as Vancomycin-resistant Enterococci (VRE) and certain types of resistant Gram-negative bacteria? Respond concisely ""MDRO: Yes"" and include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If the answer is no, respond concisely ""MDRO: No"".",,,"5. Assess for MDRO (Multidrug-Resistant Organism) including VRE, from prescriptions. Answer 'MDRO: Yes/No'. Page reference if available.",,,,,,,,,,,,
6,"Does the patient have or are they taking any prescription drugs that indicate they have COVID, COVID+, COVID-19, or something similar caused by the SARS-CoV-2 virus? We don’t want to know if the patient had a COVID vaccination. We only want to know if they currently have COVID. Respond concisely ""COVID: Yes"" and include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If the answer is no, respond concisely ""COVID: No"".",,,"6. Check current COVID-19 status based on prescription drugs, excluding vaccination history. Respond 'COVID: Yes/No'. Page reference if available.",,,,,,,,,,,,
7,"Given the uploaded patient hospital discharge records, answer this question ""Regarding a Dementia and Alertness and Orientation assessment, what is the patient's level of alertness and orientation? The question may refer to Dementia/Alertness/Orientation. If the patient is oriented to Place only, but not Person, Time, or Situation (meaning they know who they are, but they may not be aware of where they are, the current time, or why they are in their current situation), respond concisely ""A&Ox1"". If the patient is oriented to Place and Person, but not Time or Situation, respond concisely ""A&Ox2"". If the patient is oriented to Place, Person, and Time, but not Situation, respond concisely ""A&Ox3"". Finally, if the patient is oriented to Place, Person, Time, and Situation, possibly stated as Orientated to Place and Person and Situation (because Time is implied in awareness of Situation), respond concisely ""A&Ox4"". For ""A&Ox1-4"" responses, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". NOTE: there may be multiple orientations at different dates on different pages, so respond accordingly. Also NOTE: this may be described as ""Oriented x1"", ""Oriented x2"", ""Oriented x3"", or ""Oriented x4"".  If there is no indication or mention of a Dementia/Alertness/Orientation assessment, respond concisely ""A&OxNA"" and omit any ""Page"" references. Omit any summary statements before or after the response.""",,,"7. Evaluate patient's alertness and orientation, ranging from A&Ox1 to A&Ox4. Respond with level. Page reference if available.",,,,,,,,,,,,
8,"Did the patient receive a COVID or COVID-related vaccination that would prevent a SARS-CoV-2-related virus? If yes, respond concisely ""COVID vaccination: Yes"" and include the date or year of the most recent vaccination along with the page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If no, respond concisely ""COVID vaccination: No"". ",,,8. Confirm receipt of a COVID vaccination. Respond 'COVID vaccination: Yes/No' with date if available. Page reference if available.,,,,,,,,,,,,
9,"Did the patient have a COVID, COVID+, COVID-19, or similar virus test? If yes, respond concisely with the results and date or year of the most recent test and include the PDF page number(s) indicating the source, for example, ""COVID test: Negative, 12/12/2023 (Page 2)"" or ""COVID test: Positive, 1/31/2024 (Page 10)"". Omit any summary statements before or after the response. If there is no indication or mention of a COVID test, respond concisely ""COVID test: NA"".",,,"9. Inquire about recent COVID-19 test and results. Answer 'COVID test: [Result, Date]'. If not mentioned, 'COVID test: NA'. Page reference if available.",,,,,,,,,,,,
10,"Does the patient need short-term care, or do they have a short-term care plan, after which the patient is expected to return home? This care plan is possibly related to therapy or recovery after surgery. If they have a short-term care plan, concisely list it in bullet format and include approximately how long it is expected to take (in days or weeks and day). Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summaries before or after the response or bullet list. If no short-term care plan is mentioned, respond ""No short-term care plan mentioned"".",,,"10. Identify short-term care plan details. Respond in bullet format with duration. If none, 'No short-term care plan mentioned'. Page reference if available.",,,,,,,,,,,,
11,"Does the patient need long-term care or have a long-term care plan where the patient is expected to be in the nursing home 6 to 12 months or longer? Examples include custodial care or long-term therapy. If they have a long-term care plan, concisely list it in bullet format and include approximately how long it is expected to take (in weeks or months). Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summaries before or after the response or bullet list. If no long-term care plan is mentioned, respond ""No long-term care plan mentioned"".",,,"11. List long-term care plans and duration in bullet format. If none, respond 'No long-term care plan mentioned'. Page reference if available.",,,,,,,,,,,,
